masterid,sampledate,CSCI_method,fieldreplicate,CSCI_count,pcnt_ambiguous_individuals,pcnt_ambiguous_taxa,e,oovere,mmi,CSCI,ASCI_D,ASCI_H
504DCFRxx,2010-07-27T07:00:00Z,BMI_RWB,1,588,4.59183673,8.95522388,12.17687289,1.03064228,0.95293466,0.99178847,1.0930547372955894,1.08072845689622
504DCFRxx,2002-10-16T07:00:00Z,BMI_CSBP_Trans,1,908,2.20264317,11.32075472,12.17687289,1.02653613,0.93770893,0.98212253,NA,NA
504DRCH99,2004-09-22T07:00:00Z,BMI_RWB,1,477,0.20964361,3.03030303,9.2774296,0.62517316,0.54986558,0.58751937,NA,NA
504DYCBSB,2004-09-22T07:00:00Z,BMI_RWB,1,494,2.0242915,13.04347826,9.26753269,0.38305773,0.28429517,0.33367645,NA,NA
504FC1115,2014-06-19T07:00:00Z,BMI_RWB,1,581,9.63855422,15.18987342,12.17260852,1.01868059,0.80571647,0.91219853,0.9750583325442516,0.9928450839731244
504MLCH99,2004-09-22T07:00:00Z,BMI_RWB,1,467,0.21413276,2.04081633,9.28853338,0.75361736,0.66477179,0.70919457,NA,NA
504PS0227,2009-08-12T07:00:00Z,BMI_RWB,1,575,3.47826087,10.44776119,12.17545734,0.96916277,0.97351171,0.97133724,0.9183194190681574,0.8850976057296407
504TMCTVR,2004-10-22T07:00:00Z,BMI_RWB,1,500,1.2,5.1282051299999996,9.19892048,0.84249016,0.50107747,0.67178382,NA,NA
511CHCPRS,2004-09-29T07:00:00Z,BMI_RWB,1,487,0.20533881,3.7037037,9.75059213,0.59483567,0.65385868,0.62434717,NA,NA
515DCBAFB,2004-10-04T07:00:00Z,BMI_RWB,1,485,0.20618557,2.63157895,9.7174423,0.81811651,0.53210786,0.67511219,NA,NA
519ALCAFB,2004-10-25T07:00:00Z,BMI_RWB,1,492,0,0,10.22002623,0.80723863,0.4601089,0.63367376,NA,NA
519ARH193,2004-10-13T07:00:00Z,BMI_RWB,1,503,2.18687873,8.33333333,9.75347658,0.78946209,0.66517552,0.7273188,NA,NA
519ARH193,2004-10-13T07:00:00Z,BMI_RWB,2,498,3.81526104,8.88888889,9.75347658,0.9227479,0.85414121,0.88844455,NA,NA
519MNRASR,2008-07-09T07:00:00Z,BMI_RWB,1,571,1.06007067,6.52173913,10.19681428,0.83359369,0.67139801,0.75249585,0.6140461258659946,0.440467017550596
519MNRASR,2004-10-25T07:00:00Z,BMI_RWB,1,408,0.24509804,2.77777778,10.19681428,0.68648892,0.59067701,0.63858296,NA,NA
520BTCH99,2004-10-12T07:00:00Z,BMI_RWB,1,486,0,0,12.06593214,0.96138449,0.77614669,0.86876559,NA,NA
520CMCFSL,2004-10-22T07:00:00Z,BMI_RWB,1,506,0,0,10.81716036,0.98454674,0.88315012,0.93384843,NA,NA
520CMCFSL,2004-10-22T07:00:00Z,BMI_RWB,2,452,0,0,10.81716036,1.01228045,0.87965874,0.9459696,NA,NA
520DCDCRx,2002-10-10T07:00:00Z,BMI_CSBP_Trans,1,898,0.66815145,6.66666667,15.17243774,1.04795289,1.05605469,1.05200379,NA,NA
520HCTH99,2004-10-20T07:00:00Z,BMI_RWB,1,475,0,0,12.05148239,0.90030418,0.94662802,0.9234661,NA,NA
541OC0010,2009-04-21T07:00:00Z,BMI_CSBP_Trans,1,889,1.68728909,7.54716981,9.63988696,0.73652316,0.6921838,0.71435348,NA,NA
541OC0010,2010-04-21T07:00:00Z,BMI_CSBP_Trans,1,900,0.11111111,2.56410256,9.63988696,0.51867828,0.67174676,0.59521252,NA,NA
541OC0010,2008-05-08T07:00:00Z,BMI_CSBP_Trans,1,899,0.22246941,4.54545455,9.63988696,0.72614959,0.63034264,0.67824612,NA,NA
541OC0010,2002-05-11T07:00:00Z,BMI_CSBP_Trans,1,882,19.52554745,2.27272727,9.63988696,0.61722715,0.44652211,0.53187463,NA,NA
541OC0010,2005-05-12T07:00:00Z,BMI_CSBP_Trans,1,888,0,0,9.63988696,0.65872142,0.61073721,0.63472931,NA,NA
541OC0010,2001-05-13T07:00:00Z,BMI_CSBP_Trans,1,841,2.1454112,5.26315789,9.63988696,0.72614959,0.75257618,0.73936289,NA,NA
541OC0010,2000-05-19T07:00:00Z,BMI_CSBP_Trans,1,864,3.59212051,7.84313725,9.63988696,0.79357777,0.65086108,0.72221942,NA,NA
541OC0010,2003-05-20T07:00:00Z,BMI_CSBP_Trans,1,940,0.53191489,4.16666667,9.63988696,0.75208351,0.54840539,0.65024445,NA,NA
541OC0010,2004-05-20T07:00:00Z,BMI_CSBP_Trans,1,797,1.88205772,6.66666667,9.63988696,0.50311793,0.42671953,0.46491873,NA,NA
541OC0010,2006-05-24T07:00:00Z,BMI_CSBP_Trans,1,856,0.23364486,4.25531915,9.63988696,0.82988525,0.53948229,0.68468377,NA,NA
541OC0010,2011-06-15T07:00:00Z,BMI_CSBP_Trans,1,850,1.17647059,7.40740741,9.63988696,0.64834785,0.52552628,0.58693707,NA,NA
